hotel_name,Latitude,Longitude
Somerset Kuala Lumpur,3.1600079,101.7230102
LEO Express Hotel,-2.8956267,-79.005133
My Hotel @ Sentral,3.1320949,101.6882079
Hotel 1000 Miles,3.1490546,101.6979838
Nan Yeang Hotel,3.1441661,101.6986988
THE FACE Suites,3.1587152,101.70390665328816
My Hotel @ Bukit Bintang,3.1446066,101.7059438
Somerset Kuala Lumpur,3.1600079,101.7230102
Hotel Gulshan,24.3735837,88.6037136
Cairnhill Hotel Kuala Lumpur,3.18266245,101.6804164
Vivids Hotel,3.1481666,101.7078758
